"ID_estacao";"ano_ini";"ano_fim";"tbs_max";"tbs_996";"tbuc_996";"tbs_99";"tbuc_99";"tbs_98";"tbuc_98";"tbs_min";"tbu_max";"tbu_996";"tbsc_996";"tbu_99";"tbsc_99";"tbu_98";"tbsc_98"
"A608";2010;2021;40,8;35,7;23,9;34,4;23,6;33,3;23,8;10,3;28,2;26,2;32;25,7;31,4;25,2;30,9
"A607";2010;2021;40,5;35,8;24,5;34,7;24,3;33,8;24,1;9,8;27,5;25,7;32,3;25,3;31,7;24,9;31
"A606";2010;2021;35,1;30,4;24,8;29,5;24,9;28,9;24,3;12,9;29,9;26,4;28,8;25,7;28,3;25,2;27,9
"A604";2010;2021;41,2;37,1;24;36;24,2;35;24;7,3;32,5;26,5;33,4;25,9;32,5;25,4;32,1
"A603";2010;2021;41,1;37,3;24,5;36,3;24,7;35,2;24,5;2,9;31,3;27,1;33,5;26,4;33,2;25,8;32,6
"A602";2010;2021;42,4;36,9;23,6;35,3;23,6;33,8;23,5;10,1;36,1;26,3;31,3;25,8;31;25,3;30,2
"A601";2010;2021;41,7;37,6;24,3;36,4;24,7;35,2;24,3;8,2;29;26,7;33,8;26,1;33,2;25,6;32,6
"A571";2018;2021;40,2;36,3;17,7;35,2;18,4;34,1;18,4;9,3;24;23,1;30,2;22,8;29,6;22,5;29
"A570";2017;2021;35,6;32;18,5;31,2;18,7;30,2;19,8;2,9;23,5;22,2;27,1;21,9;27,4;21,5;27,2
"A569";2016;2021;37,5;34,7;18,8;33,5;19,8;32,5;20;3,9;24,9;23,3;30;22,8;29,4;22,4;28,9
"A568";2017;2021;39,2;35,6;19,6;34,4;19,2;33,3;19,8;1,3;25,3;23,7;29,6;23,4;29,5;23,1;29
"A567";2017;2021;36,4;32,6;19,1;31,3;19,4;30,4;19,5;3,8;23,9;22,6;28,7;22,1;28,1;21,7;27,6
"A566";2017;2021;42,3;37,9;19,2;36,9;19,9;35,9;20,1;7,6;26,6;24,1;27,6;23,7;28,2;23,3;28,3
"A565";2016;2021;38,8;34,7;20,8;33,4;21,3;32,4;21,4;-0,5;25,6;23,9;30,2;23,6;29,8;23,2;28,8
"A564";2017;2021;38,1;34,4;19,4;33,2;20,4;32,3;20,9;3,8;24,6;23,6;29,1;23,2;28,2;22,9;28,2
"A563";2016;2021;41,3;38;21,1;37,1;20,9;36,1;21,3;9,5;31,6;24,5;30,5;24,1;30,6;23,8;30,4
"A562";2017;2021;38,9;34,1;18,1;32,8;18,2;31,6;18,7;5,1;23,8;22,6;29;22,2;28,3;21,9;27,9
"A559";2016;2021;41,3;38,3;20,2;37,2;20,2;36,1;20,4;9,4;28,1;25,4;30,6;25;30,3;24,6;29,7
"A557";2012;2021;40,6;36,8;23,1;35,6;23,5;34,5;23,7;5,2;27,8;26;33;25,5;32,6;25;31,4
"A556";2010;2021;36,4;31,6;20,4;30,5;20,3;29,5;20,3;4,3;24,3;22,3;28,6;21,9;28,1;21,5;27,5
"A555";2010;2021;36,7;31;17,2;29,8;17,6;28,9;18,3;6,4;22,2;20,9;26,4;20,5;26;20,2;25,7
"A554";2010;2021;40,2;35,4;22,3;34,3;22,3;33,3;22,6;6,6;29,4;25,3;30,8;24,8;30,3;24,3;29,6
"A553";2010;2021;37,8;33,9;17,2;32,7;17,4;31,7;18,1;8,1;23,1;21,8;27,6;21,5;27,4;21,2;27,2
"A552";2010;2021;42,1;37,4;19,8;36,4;19,5;35,4;19,9;6,4;29;24;29,3;23,5;29,1;23,1;29
